On Time,Off Time,Running Duration,Off Duration
2021-01-20 11:03:07+00:00,2021-01-20 11:07:33+00:00,0:04:26,0:13:02
2021-01-20 11:20:35+00:00,2021-01-20 11:25:15+00:00,0:04:40,0:12:36
2021-01-20 11:37:51+00:00,2021-01-20 11:42:27+00:00,0:04:36,0:12:50
2021-01-20 11:55:17+00:00,2021-01-20 11:59:42+00:00,0:04:25,0:12:48
2021-01-20 12:12:30+00:00,2021-01-20 12:17:29+00:00,0:04:59,0:12:43
2021-01-20 12:30:12+00:00,2021-01-20 12:34:53+00:00,0:04:41,0:13:13
2021-01-20 12:48:06+00:00,2021-01-20 12:52:29+00:00,0:04:23,0:13:28
2021-01-20 13:05:57+00:00,2021-01-20 13:10:51+00:00,0:04:54,0:12:48
2021-01-20 13:23:39+00:00,2021-01-20 13:28:20+00:00,0:04:41,0:12:50
2021-01-20 13:41:10+00:00,2021-01-20 13:45:20+00:00,0:04:10,0:13:03
2021-01-20 13:58:23+00:00,2021-01-20 14:03:14+00:00,0:04:51,0:12:57
2021-01-20 14:16:11+00:00,2021-01-20 14:20:23+00:00,0:04:12,0:13:24
2021-01-20 14:33:47+00:00,2021-01-20 14:38:10+00:00,0:04:23,0:13:03
2021-01-20 14:51:13+00:00,2021-01-20 14:55:34+00:00,0:04:21,0:13:01
2021-01-20 15:08:35+00:00,2021-01-20 15:13:19+00:00,0:04:44,0:12:37
2021-01-20 15:25:56+00:00,2021-01-20 15:30:48+00:00,0:04:52,0:13:12
2021-01-20 15:44:00+00:00,2021-01-20 15:48:26+00:00,0:04:26,0:13:26
2021-01-20 16:01:52+00:00,2021-01-20 16:06:20+00:00,0:04:28,0:13:35
2021-01-20 16:19:55+00:00,2021-01-20 16:24:24+00:00,0:04:29,0:13:11
2021-01-20 16:37:35+00:00,2021-01-20 16:42:13+00:00,0:04:38,0:13:08
2021-01-20 16:55:21+00:00,2021-01-20 16:59:52+00:00,0:04:31,0:13:32
2021-01-20 17:13:24+00:00,2021-01-20 17:18:13+00:00,0:04:49,0:13:30
2021-01-20 17:31:43+00:00,2021-01-20 17:36:07+00:00,0:04:24,0:13:42
2021-01-20 17:49:49+00:00,2021-01-20 17:53:57+00:00,0:04:08,0:13:29
2021-01-20 18:07:26+00:00,2021-01-20 18:12:28+00:00,0:05:02,0:12:44
2021-01-20 18:25:12+00:00,2021-01-20 18:29:36+00:00,0:04:24,0:13:14
2021-01-20 18:42:50+00:00,2021-01-20 18:47:19+00:00,0:04:29,0:13:06
2021-01-20 19:00:25+00:00,2021-01-20 19:05:22+00:00,0:04:57,0:13:10
2021-01-20 19:18:32+00:00,2021-01-20 19:23:00+00:00,0:04:28,0:13:34
2021-01-20 19:36:34+00:00,2021-01-20 19:41:06+00:00,0:04:32,0:13:42
2021-01-20 19:54:48+00:00,2021-01-20 19:59:23+00:00,0:04:35,0:13:29
2021-01-20 20:12:52+00:00,2021-01-20 20:17:31+00:00,0:04:39,0:13:43
2021-01-20 20:31:14+00:00,2021-01-20 20:35:52+00:00,0:04:38,0:13:40
2021-01-20 20:49:32+00:00,2021-01-20 20:54:19+00:00,0:04:47,0:13:38
2021-01-20 21:07:57+00:00,2021-01-20 21:12:56+00:00,0:04:59,0:13:09
2021-01-20 21:26:05+00:00,2021-01-20 21:31:02+00:00,0:04:57,0:13:12
2021-01-20 21:44:14+00:00,2021-01-20 21:48:37+00:00,0:04:23,0:13:26
2021-01-20 22:02:03+00:00,2021-01-20 22:07:03+00:00,0:05:00,0:13:01
2021-01-20 22:20:04+00:00,2021-01-20 22:24:28+00:00,0:04:24,0:13:37
2021-01-20 22:38:05+00:00,2021-01-20 22:42:04+00:00,0:03:59,0:13:51
2021-01-20 22:55:55+00:00,2021-01-20 23:01:11+00:00,0:05:16,0:12:48
2021-01-20 23:13:59+00:00,2021-01-20 23:18:45+00:00,0:04:46,0:13:27
2021-01-20 23:32:12+00:00,2021-01-20 23:36:29+00:00,0:04:17,0:13:46
2021-01-20 23:50:15+00:00,2021-01-20 23:54:38+00:00,0:04:23,0:13:29
2021-01-21 00:08:07+00:00,2021-01-21 00:12:33+00:00,0:04:26,0:13:19
2021-01-21 00:25:52+00:00,2021-01-21 00:29:55+00:00,0:04:03,0:13:27
2021-01-21 00:43:22+00:00,2021-01-21 00:47:48+00:00,0:04:26,0:13:08
2021-01-21 01:00:56+00:00,2021-01-21 01:06:01+00:00,0:05:05,0:12:36
2021-01-21 01:18:37+00:00,2021-01-21 01:23:29+00:00,0:04:52,0:12:40
2021-01-21 01:36:09+00:00,2021-01-21 01:40:36+00:00,0:04:27,0:13:07
2021-01-21 01:53:43+00:00,2021-01-21 01:58:33+00:00,0:04:50,0:12:36
2021-01-21 02:11:09+00:00,2021-01-21 02:15:23+00:00,0:04:14,0:13:02
2021-01-21 02:28:25+00:00,2021-01-21 02:32:53+00:00,0:04:28,0:13:10
2021-01-21 02:46:03+00:00,2021-01-21 02:50:28+00:00,0:04:25,0:12:54
2021-01-21 03:03:22+00:00,2021-01-21 03:07:34+00:00,0:04:12,0:12:37
2021-01-21 03:20:11+00:00,2021-01-21 03:24:25+00:00,0:04:14,0:13:40
2021-01-21 03:38:05+00:00,2021-01-21 03:42:58+00:00,0:04:53,0:12:28
2021-01-21 03:55:26+00:00,2021-01-21 03:59:47+00:00,0:04:21,0:14:01
2021-01-21 04:13:48+00:00,2021-01-21 04:18:26+00:00,0:04:38,0:14:06
2021-01-21 04:32:32+00:00,2021-01-21 04:37:03+00:00,0:04:31,0:14:12
2021-01-21 04:51:15+00:00,2021-01-21 04:55:54+00:00,0:04:39,0:13:55
2021-01-21 05:09:49+00:00,2021-01-21 05:14:17+00:00,0:04:28,0:13:46
2021-01-21 05:28:03+00:00,2021-01-21 05:32:23+00:00,0:04:20,0:13:56
2021-01-21 05:46:19+00:00,2021-01-21 05:50:42+00:00,0:04:23,0:13:54
2021-01-21 06:04:36+00:00,2021-01-21 06:09:07+00:00,0:04:31,0:13:36
2021-01-21 06:22:43+00:00,2021-01-21 06:27:19+00:00,0:04:36,0:13:37
2021-01-21 06:40:56+00:00,2021-01-21 06:45:15+00:00,0:04:19,0:14:02
2021-01-21 06:59:17+00:00,2021-01-21 07:03:49+00:00,0:04:32,0:13:20
2021-01-21 07:17:09+00:00,2021-01-21 07:22:01+00:00,0:04:52,0:12:47
2021-01-21 07:34:48+00:00,2021-01-21 07:39:59+00:00,0:05:11,0:13:41
2021-01-21 07:53:40+00:00,2021-01-21 07:58:08+00:00,0:04:28,0:13:55
2021-01-21 08:12:03+00:00,2021-01-21 08:17:06+00:00,0:05:03,0:12:56
2021-01-21 08:30:02+00:00,2021-01-21 08:34:24+00:00,0:04:22,0:12:26
2021-01-21 08:46:50+00:00,2021-01-21 08:51:10+00:00,0:04:20,0:12:49
2021-01-21 09:03:59+00:00,2021-01-21 09:08:22+00:00,0:04:23,0:12:28
2021-01-21 09:20:50+00:00,2021-01-21 09:25:01+00:00,0:04:11,0:12:55
2021-01-21 09:37:56+00:00,2021-01-21 09:42:22+00:00,0:04:26,0:12:41
2021-01-21 09:55:03+00:00,2021-01-21 10:00:06+00:00,0:05:03,0:12:23
2021-01-21 10:12:29+00:00,2021-01-21 10:16:55+00:00,0:04:26,0:12:58
2021-01-21 10:29:53+00:00,2021-01-21 10:34:33+00:00,0:04:40,0:12:45
2021-01-21 10:47:18+00:00,2021-01-21 10:51:50+00:00,0:04:32,0:12:59
2021-01-21 11:04:49+00:00,2021-01-21 11:09:22+00:00,0:04:33,0:12:13
2021-01-21 11:21:35+00:00,2021-01-21 11:25:53+00:00,0:04:18,0:13:00
2021-01-21 11:38:53+00:00,2021-01-21 11:43:29+00:00,0:04:36,0:12:55
2021-01-21 11:56:24+00:00,2021-01-21 12:01:36+00:00,0:05:12,0:12:26
2021-01-21 12:14:02+00:00,2021-01-21 12:18:52+00:00,0:04:50,0:12:46
2021-01-21 12:31:38+00:00,2021-01-21 12:36:28+00:00,0:04:50,0:13:04
2021-01-21 12:49:32+00:00,2021-01-21 12:54:24+00:00,0:04:52,0:12:48
2021-01-21 13:07:12+00:00,2021-01-21 13:11:48+00:00,0:04:36,0:13:02
2021-01-21 13:24:50+00:00,2021-01-21 13:29:16+00:00,0:04:26,0:12:50
2021-01-21 13:42:06+00:00,2021-01-21 13:47:05+00:00,0:04:59,0:12:35
2021-01-21 13:59:40+00:00,2021-01-21 14:04:41+00:00,0:05:01,0:12:20
2021-01-21 14:17:01+00:00,2021-01-21 14:21:36+00:00,0:04:35,0:12:24
2021-01-21 14:34:00+00:00,2021-01-21 14:38:48+00:00,0:04:48,0:13:00
2021-01-21 14:51:48+00:00,2021-01-21 14:56:16+00:00,0:04:28,0:12:44
2021-01-21 15:09:00+00:00,2021-01-21 15:14:04+00:00,0:05:04,0:12:23
2021-01-21 15:26:27+00:00,2021-01-21 15:31:11+00:00,0:04:44,0:12:39
2021-01-21 15:43:50+00:00,2021-01-21 15:48:12+00:00,0:04:22,0:12:49
2021-01-21 16:01:01+00:00,2021-01-21 16:05:46+00:00,0:04:45,0:12:10
2021-01-21 16:17:56+00:00,2021-01-21 16:22:33+00:00,0:04:37,0:12:16
2021-01-21 16:34:49+00:00,2021-01-21 16:39:20+00:00,0:04:31,0:12:19
2021-01-21 16:51:39+00:00,2021-01-21 16:57:02+00:00,0:05:23,0:11:54
2021-01-21 17:08:56+00:00,2021-01-21 17:13:28+00:00,0:04:32,0:12:20
2021-01-21 17:25:48+00:00,2021-01-21 17:31:00+00:00,0:05:12,0:12:05
2021-01-21 17:43:05+00:00,2021-01-21 17:48:14+00:00,0:05:09,0:12:10
2021-01-21 18:00:24+00:00,2021-01-21 18:05:25+00:00,0:05:01,0:12:31
2021-01-21 18:17:56+00:00,2021-01-21 18:22:38+00:00,0:04:42,0:12:50
2021-01-21 18:35:28+00:00,2021-01-21 18:40:03+00:00,0:04:35,0:12:46
2021-01-21 18:52:49+00:00,2021-01-21 18:57:50+00:00,0:05:01,0:12:57
2021-01-21 19:10:47+00:00,2021-01-21 19:15:35+00:00,0:04:48,0:12:50
2021-01-21 19:28:25+00:00,2021-01-21 19:32:59+00:00,0:04:34,0:13:05
2021-01-21 19:46:04+00:00,2021-01-21 19:50:58+00:00,0:04:54,0:12:13
2021-01-21 20:03:11+00:00,2021-01-21 20:07:53+00:00,0:04:42,0:12:54
2021-01-21 20:20:47+00:00,2021-01-21 20:25:24+00:00,0:04:37,0:12:52
2021-01-21 20:38:16+00:00,2021-01-21 20:42:59+00:00,0:04:43,0:12:58
2021-01-21 20:55:57+00:00,2021-01-21 21:01:09+00:00,0:05:12,0:12:31
2021-01-21 21:13:40+00:00,2021-01-21 21:18:28+00:00,0:04:48,0:12:25
2021-01-21 21:30:53+00:00,2021-01-21 21:36:25+00:00,0:05:32,0:12:10
2021-01-21 21:48:35+00:00,2021-01-21 21:53:19+00:00,0:04:44,0:12:44
2021-01-21 22:06:03+00:00,2021-01-21 22:11:18+00:00,0:05:15,0:12:06
2021-01-21 22:23:24+00:00,2021-01-21 22:28:07+00:00,0:04:43,0:13:02
2021-01-21 22:41:09+00:00,2021-01-21 22:46:22+00:00,0:05:13,0:12:39
2021-01-21 22:59:01+00:00,2021-01-21 23:03:57+00:00,0:04:56,0:00:07
2021-01-21 23:04:04+00:00,2021-01-21 23:04:06+00:00,0:00:02,0:12:51
2021-01-21 23:16:57+00:00,2021-01-21 23:21:48+00:00,0:04:51,0:13:12
2021-01-21 23:35:00+00:00,2021-01-21 23:39:28+00:00,0:04:28,0:13:41
2021-01-21 23:53:09+00:00,2021-01-21 23:58:02+00:00,0:04:53,0:13:15
2021-01-22 00:11:17+00:00,2021-01-22 00:15:54+00:00,0:04:37,0:13:16
2021-01-22 00:29:10+00:00,2021-01-22 00:33:29+00:00,0:04:19,0:13:09
2021-01-22 00:46:38+00:00,2021-01-22 00:51:28+00:00,0:04:50,0:13:00
2021-01-22 01:04:28+00:00,2021-01-22 01:09:56+00:00,0:05:28,0:12:25
2021-01-22 01:22:21+00:00,2021-01-22 01:27:16+00:00,0:04:55,0:12:36
2021-01-22 01:39:52+00:00,2021-01-22 01:44:41+00:00,0:04:49,0:13:06
2021-01-22 01:57:47+00:00,2021-01-22 02:02:31+00:00,0:04:44,0:12:34
2021-01-22 02:15:05+00:00,2021-01-22 02:20:10+00:00,0:05:05,0:12:50
2021-01-22 02:33:00+00:00,2021-01-22 02:37:34+00:00,0:04:34,0:12:45
2021-01-22 02:50:19+00:00,2021-01-22 02:55:09+00:00,0:04:50,0:13:05
2021-01-22 03:08:14+00:00,2021-01-22 03:12:49+00:00,0:04:35,0:13:06
2021-01-22 03:25:55+00:00,2021-01-22 03:30:55+00:00,0:05:00,0:13:14
2021-01-22 03:44:09+00:00,2021-01-22 03:48:36+00:00,0:04:27,0:13:42
2021-01-22 04:02:18+00:00,2021-01-22 04:07:14+00:00,0:04:56,0:13:14
2021-01-22 04:20:28+00:00,2021-01-22 04:25:43+00:00,0:05:15,0:12:54
2021-01-22 04:38:37+00:00,2021-01-22 04:42:58+00:00,0:04:21,0:13:31
2021-01-22 04:56:29+00:00,2021-01-22 05:00:47+00:00,0:04:18,0:13:13
2021-01-22 05:14:00+00:00,2021-01-22 05:18:16+00:00,0:04:16,0:12:44
2021-01-22 05:31:00+00:00,2021-01-22 05:36:20+00:00,0:05:20,0:13:15
2021-01-22 05:49:35+00:00,2021-01-22 05:54:19+00:00,0:04:44,0:13:36
2021-01-22 06:07:55+00:00,2021-01-22 06:12:36+00:00,0:04:41,0:13:04
2021-01-22 06:25:40+00:00,2021-01-22 06:30:08+00:00,0:04:28,0:13:12
2021-01-22 06:43:20+00:00,2021-01-22 06:48:44+00:00,0:05:24,0:12:58
2021-01-22 07:01:42+00:00,2021-01-22 07:06:19+00:00,0:04:37,0:13:35
2021-01-22 07:19:54+00:00,2021-01-22 07:24:32+00:00,0:04:38,0:13:03
2021-01-22 07:37:35+00:00,2021-01-22 07:42:15+00:00,0:04:40,0:13:09
2021-01-22 07:55:24+00:00,2021-01-22 07:59:47+00:00,0:04:23,0:12:57
2021-01-22 08:12:44+00:00,2021-01-22 08:18:00+00:00,0:05:16,0:13:21
2021-01-22 08:31:21+00:00,2021-01-22 08:36:53+00:00,0:05:32,0:13:06
2021-01-22 08:49:59+00:00,2021-01-22 08:54:52+00:00,0:04:53,0:13:54
2021-01-22 09:08:46+00:00,2021-01-22 09:14:04+00:00,0:05:18,0:13:15
2021-01-22 09:27:19+00:00,2021-01-22 09:31:57+00:00,0:04:38,0:13:40
2021-01-22 09:45:37+00:00,2021-01-22 09:50:12+00:00,0:04:35,0:13:25
2021-01-22 10:03:37+00:00,2021-01-22 10:08:36+00:00,0:04:59,0:12:37
2021-01-22 10:21:13+00:00,2021-01-22 10:25:49+00:00,0:04:36,0:13:19
2021-01-22 10:39:08+00:00,2021-01-22 10:44:40+00:00,0:05:32,0:12:40
2021-01-22 10:57:20+00:00,2021-01-22 11:02:06+00:00,0:04:46,0:13:42
2021-01-22 11:15:48+00:00,2021-01-22 11:20:43+00:00,0:04:55,0:12:59
2021-01-22 11:33:42+00:00,2021-01-22 11:38:03+00:00,0:04:21,0:13:02
2021-01-22 11:51:05+00:00,2021-01-22 11:56:45+00:00,0:05:40,0:12:39
2021-01-22 12:09:24+00:00,2021-01-22 12:14:53+00:00,0:05:29,0:12:56
2021-01-22 12:27:49+00:00,2021-01-22 12:32:52+00:00,0:05:03,0:13:31
2021-01-22 12:46:23+00:00,2021-01-22 12:51:16+00:00,0:04:53,0:13:29
2021-01-22 13:04:45+00:00,2021-01-22 13:09:43+00:00,0:04:58,0:13:32
2021-01-22 13:23:15+00:00,2021-01-22 13:28:41+00:00,0:05:26,0:12:57
2021-01-22 13:41:38+00:00,2021-01-22 13:47:02+00:00,0:05:24,0:13:00
2021-01-22 14:00:02+00:00,2021-01-22 14:04:26+00:00,0:04:24,0:13:35
2021-01-22 14:18:01+00:00,2021-01-22 14:23:04+00:00,0:05:03,0:13:23
2021-01-22 14:36:27+00:00,2021-01-22 14:41:19+00:00,0:04:52,0:13:13
2021-01-22 14:54:32+00:00,2021-01-22 14:59:52+00:00,0:05:20,0:12:56
2021-01-22 15:12:48+00:00,2021-01-22 15:17:16+00:00,0:04:28,0:13:33
2021-01-22 15:30:49+00:00,2021-01-22 15:35:25+00:00,0:04:36,0:13:20
2021-01-22 15:48:45+00:00,2021-01-22 15:53:00+00:00,0:04:15,0:13:40
2021-01-22 16:06:40+00:00,2021-01-22 16:11:49+00:00,0:05:09,0:13:29
2021-01-22 16:25:18+00:00,2021-01-22 16:30:09+00:00,0:04:51,0:13:19
2021-01-22 16:43:28+00:00,2021-01-22 16:48:24+00:00,0:04:56,0:13:20
2021-01-22 17:01:44+00:00,2021-01-22 17:06:38+00:00,0:04:54,0:13:21
2021-01-22 17:19:59+00:00,2021-01-22 17:25:10+00:00,0:05:11,0:12:56
2021-01-22 17:38:06+00:00,2021-01-22 17:42:41+00:00,0:04:35,0:13:42
2021-01-22 17:56:23+00:00,2021-01-22 18:00:52+00:00,0:04:29,0:13:32
2021-01-22 18:14:24+00:00,2021-01-22 18:19:03+00:00,0:04:39,0:13:37
2021-01-22 18:32:40+00:00,2021-01-22 18:37:46+00:00,0:05:06,0:13:00
2021-01-22 18:50:46+00:00,2021-01-22 18:55:32+00:00,0:04:46,0:13:33
2021-01-22 19:09:05+00:00,2021-01-22 19:13:59+00:00,0:04:54,0:13:27
2021-01-22 19:27:26+00:00,2021-01-22 19:31:47+00:00,0:04:21,0:13:46
2021-01-22 19:45:33+00:00,2021-01-22 19:50:20+00:00,0:04:47,0:13:58
2021-01-22 20:04:18+00:00,2021-01-22 20:09:30+00:00,0:05:12,0:13:22
2021-01-22 20:22:52+00:00,2021-01-22 20:27:30+00:00,0:04:38,0:14:08
2021-01-22 20:41:38+00:00,2021-01-22 20:46:22+00:00,0:04:44,0:13:30
2021-01-22 20:59:52+00:00,2021-01-22 21:04:13+00:00,0:04:21,0:14:26
2021-01-22 21:18:39+00:00,2021-01-22 21:23:19+00:00,0:04:40,0:13:55
2021-01-22 21:37:14+00:00,2021-01-22 21:41:49+00:00,0:04:35,0:14:02
2021-01-22 21:55:51+00:00,2021-01-22 22:00:38+00:00,0:04:47,0:13:28
2021-01-22 22:14:06+00:00,2021-01-22 22:19:01+00:00,0:04:55,0:13:19
2021-01-22 22:32:20+00:00,2021-01-22 22:36:40+00:00,0:04:20,0:13:56
2021-01-22 22:50:36+00:00,2021-01-22 22:55:01+00:00,0:04:25,0:13:41
2021-01-22 23:08:42+00:00,2021-01-22 23:13:22+00:00,0:04:40,0:13:38
2021-01-22 23:27:00+00:00,2021-01-22 23:32:12+00:00,0:05:12,0:13:54
2021-01-22 23:46:06+00:00,2021-01-22 23:50:41+00:00,0:04:35,0:14:20
2021-01-23 00:05:01+00:00,2021-01-23 00:09:48+00:00,0:04:47,0:13:26
2021-01-23 00:23:14+00:00,2021-01-23 00:28:37+00:00,0:05:23,0:12:59
2021-01-23 00:41:36+00:00,2021-01-23 00:46:48+00:00,0:05:12,0:13:23
2021-01-23 01:00:11+00:00,2021-01-23 01:04:43+00:00,0:04:32,0:13:59
2021-01-23 01:18:42+00:00,2021-01-23 01:23:11+00:00,0:04:29,0:13:47
2021-01-23 01:36:58+00:00,2021-01-23 01:41:26+00:00,0:04:28,0:13:55
2021-01-23 01:55:21+00:00,2021-01-23 01:59:50+00:00,0:04:29,0:14:13
2021-01-23 02:14:03+00:00,2021-01-23 02:18:30+00:00,0:04:27,0:13:36
2021-01-23 02:32:06+00:00,2021-01-23 02:36:20+00:00,0:04:14,0:13:46
2021-01-23 02:50:06+00:00,2021-01-23 02:54:35+00:00,0:04:29,0:13:54
2021-01-23 03:08:29+00:00,2021-01-23 03:13:09+00:00,0:04:40,0:13:16
2021-01-23 03:26:25+00:00,2021-01-23 03:30:52+00:00,0:04:27,0:13:21
2021-01-23 03:44:13+00:00,2021-01-23 03:49:16+00:00,0:05:03,0:13:44
2021-01-23 04:03:00+00:00,2021-01-23 04:08:03+00:00,0:05:03,0:13:15
2021-01-23 04:21:18+00:00,2021-01-23 04:26:17+00:00,0:04:59,0:13:18
2021-01-23 04:39:35+00:00,2021-01-23 04:44:20+00:00,0:04:45,0:13:09
2021-01-23 04:57:29+00:00,2021-01-23 05:01:39+00:00,0:04:10,0:13:37
2021-01-23 05:15:16+00:00,2021-01-23 05:19:39+00:00,0:04:23,0:13:33
2021-01-23 05:33:12+00:00,2021-01-23 05:37:40+00:00,0:04:28,0:13:21
2021-01-23 05:51:01+00:00,2021-01-23 05:55:27+00:00,0:04:26,0:13:34
2021-01-23 06:09:01+00:00,2021-01-23 06:13:20+00:00,0:04:19,0:13:37
2021-01-23 06:26:57+00:00,2021-01-23 06:31:11+00:00,0:04:14,0:13:40
2021-01-23 06:44:51+00:00,2021-01-23 06:49:22+00:00,0:04:31,0:13:31
2021-01-23 07:02:53+00:00,2021-01-23 07:07:30+00:00,0:04:37,0:13:06
2021-01-23 07:20:36+00:00,2021-01-23 07:25:23+00:00,0:04:47,0:13:00
2021-01-23 07:38:23+00:00,2021-01-23 07:42:46+00:00,0:04:23,0:13:22
2021-01-23 07:56:08+00:00,2021-01-23 08:00:49+00:00,0:04:41,0:13:10
2021-01-23 08:13:59+00:00,2021-01-23 08:18:24+00:00,0:04:25,0:13:46
2021-01-23 08:32:10+00:00,2021-01-23 08:37:10+00:00,0:05:00,0:13:00
2021-01-23 08:50:10+00:00,2021-01-23 08:54:37+00:00,0:04:27,0:13:27
2021-01-23 09:08:04+00:00,2021-01-23 09:12:18+00:00,0:04:14,0:13:30
2021-01-23 09:25:48+00:00,2021-01-23 09:30:07+00:00,0:04:19,0:13:08
2021-01-23 09:43:15+00:00,2021-01-23 09:47:54+00:00,0:04:39,0:13:38
2021-01-23 10:01:32+00:00,2021-01-23 10:06:22+00:00,0:04:50,0:13:30
2021-01-23 10:19:52+00:00,2021-01-23 10:24:27+00:00,0:04:35,0:13:37
2021-01-23 10:38:04+00:00,2021-01-23 10:42:41+00:00,0:04:37,0:13:46
2021-01-23 10:56:27+00:00,2021-01-23 11:00:49+00:00,0:04:22,0:14:05
2021-01-23 11:14:54+00:00,2021-01-23 11:19:50+00:00,0:04:56,0:13:27
2021-01-23 11:33:17+00:00,2021-01-23 11:37:58+00:00,0:04:41,0:13:28
2021-01-23 11:51:26+00:00,2021-01-23 11:56:13+00:00,0:04:47,0:13:11
2021-01-23 12:09:24+00:00,2021-01-23 12:14:16+00:00,0:04:52,0:13:49
2021-01-23 12:28:05+00:00,2021-01-23 12:32:53+00:00,0:04:48,0:13:17
2021-01-23 12:46:10+00:00,2021-01-23 12:50:56+00:00,0:04:46,0:13:43
2021-01-23 13:04:39+00:00,2021-01-23 13:09:21+00:00,0:04:42,0:13:49
2021-01-23 13:23:10+00:00,2021-01-23 13:28:32+00:00,0:05:22,0:13:19
2021-01-23 13:41:51+00:00,2021-01-23 13:46:31+00:00,0:04:40,0:14:10
2021-01-23 14:00:41+00:00,2021-01-23 14:05:19+00:00,0:04:38,0:14:02
2021-01-23 14:19:21+00:00,2021-01-23 14:24:12+00:00,0:04:51,0:14:02
2021-01-23 14:38:14+00:00,2021-01-23 14:43:06+00:00,0:04:52,0:14:00
2021-01-23 14:57:06+00:00,2021-01-23 15:02:26+00:00,0:05:20,0:13:09
2021-01-23 15:15:35+00:00,2021-01-23 15:20:20+00:00,0:04:45,0:14:10
2021-01-23 15:34:30+00:00,2021-01-23 15:39:28+00:00,0:04:58,0:13:57
2021-01-23 15:53:25+00:00,2021-01-23 15:57:57+00:00,0:04:32,0:13:47
2021-01-23 16:11:44+00:00,2021-01-23 16:16:08+00:00,0:04:24,0:13:49
2021-01-23 16:29:57+00:00,2021-01-23 16:34:33+00:00,0:04:36,0:13:42
2021-01-23 16:48:15+00:00,2021-01-23 16:53:08+00:00,0:04:53,0:13:51
2021-01-23 17:06:59+00:00,2021-01-23 17:12:30+00:00,0:05:31,0:13:42
2021-01-23 17:26:12+00:00,2021-01-23 17:30:55+00:00,0:04:43,0:14:08
2021-01-23 17:45:03+00:00,2021-01-23 17:50:08+00:00,0:05:05,0:13:49
2021-01-23 18:03:57+00:00,2021-01-23 18:08:58+00:00,0:05:01,0:13:47
